Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 13, 85.02747252747253%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 14, 84.54301075268818%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 15, 83.11170212765957%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 16, 84.07894736842105%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 17, 82.421875%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 18, 84.43877551020408%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 19, 85.71428571428571%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 20, 85.625%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 21, 85.39603960396039%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 22, 84.92647058823529%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 23, 86.0576923076923%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 24, 86.07142857142858%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 25, 86.55660377358491%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 26, 85.30092592592592%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 27, 85.77981651376146%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 28, 84.88636363636364%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 29, 86.83035714285714%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 30, 85.30701754385966%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 31, 86.6304347826087%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 32, 86.11111111111111%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 33, 85.69915254237289%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 34, 86.57024793388429%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 35, 85.96311475409836%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 36, 86.6%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 37, 86.71259842519686%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 38, 89.05038759689923%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 39, 87.11538461538461%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 40, 88.25187969924812%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 41, 86.28731343283582%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 42, 87.04379562043796%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 43, 86.87050359712231%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 44, 89.34859154929578%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 45, 87.41379310344828%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 46, 87.58503401360545%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 47, 88.25%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 48, 88.72549019607843%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 49, 88.70967741935483%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 50, 87.10691823899371%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 0, 79.375%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 1, 82.5%
Classifier: J48 options: -C 0.25 -M 2 Window size: 1024 Overlap: 2, 82.01219512195121%
